"","Date","DailyAverageDryBulbTemperature","DailyAverageStationPressure","DailyCoolingDegreeDays","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPrecipitation","Title","Other","Genre"
"1","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Six: E Pluribus Unum","Action/Adventure"
"2","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Five: The Flayed","Action/Adventure"
"3","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Four: The Sauna Test","Action/Adventure"
"4","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Three: The Case of the Missing Lifeguard","Action/Adventure"
"5","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," Two: The Mall Rats","Action/Adventure"
"6","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: Stranger Things 3: "," One: Suzie, Do You Copy?","Action/Adventure"
"7","2019-07-04","92",29.32,"27","0","104",80,"0","Stranger Things: "," Two: The Weirdo on Maple Street","Action/Adventure"
"8","2019-07-05","93",29.4,"28","0","105",80,"0","Stranger Things: Stranger Things 3: "," Seven: The Bite","Action/Adventure"
"9","2019-07-17","93",29.39,"28","0","104",81,"0.07s","Divine Secrets of the Ya-Ya Sisterhood",NA,"Drama"
"10","2019-07-17","93",29.39,"28","0","104",81,"0.07s","Stranger Things: Stranger Things 3: "," Eight: The Battle of Starcourt","Action/Adventure"
"11","2019-07-23","89",29.46,"24","0","97",80,"T","Gilmore Girls: "," 2: Red Light on the Wedding Night","Comedy"
"12","2019-07-23","89",29.46,"24","0","97",80,"T","Gilmore Girls: "," 2: Hammers and Veils","Comedy"
"13","2019-07-23","89",29.46,"24","0","97",80,"T","Gilmore Girls: "," 2: Sadie, Sadie...","Comedy"
"14","2019-07-23","89",29.46,"24","0","97",80,"T","Cam",NA,"Horror"
"15","2019-07-26","85",29.5,"20","0","99",71,"0","Frasier: "," 1: Miracle on Third or Fourth Street","Comedy"
"16","2019-07-26","85",29.5,"20","0","99",71,"0","Frasier: "," 1: Death Becomes Him","Comedy"
"17","2019-07-27","89",29.5,"24","0","101",76,"0","Storage Wars: Northern Treasures: "," 2: Bigger Stronger Meaner Dumber","Reality"
"18","2019-07-27","89",29.5,"24","0","101",76,"0","Storage Wars: Northern Treasures: "," 2: Cause That's What Janitors Do!","Reality"
"19","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Worst Laid Plans","Reality"
"20","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Knock-Out Punch","Reality"
"21","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Keep Your Friends Close and Your Enemies Closer","Reality"
"22","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Shirt Happens","Reality"
"23","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Who Wants to Be a Bazillionaire","Reality"
"24","2019-07-28","92",29.42,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: That's Mr. Pecker to You","Reality"
"25","2019-07-29","90",29.38,"25","0","103",77,"0","Storage Wars: Northern Treasures: "," 2: Roy Marks His Territory","Reality"
"26","2019-07-29","90",29.38,"25","0","103",77,"0","Storage Wars: Northern Treasures: "," 2: Chini-Chilla Bang Bang","Reality"
"27","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Three Kennys Are Worse Than None","Reality"
"28","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Utopia?","Reality"
"29","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Confessions of a Dangerous Mime","Reality"
"30","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Roy Dirnbeck: The Roy Dirnbeck Story","Reality"
"31","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Cougar Pants!","Reality"
"32","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Schlock Therapy","Reality"
"33","2019-07-30","92",29.41,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Kennys vs Kennys","Reality"
"34","2019-07-30","92",29.41,"27","0","105",79,"0","Avengers: Infinity War",NA,"Action/Adventure"
"35","2019-07-30","92",29.41,"27","0","105",79,"0","Thor: Ragnarok",NA,"Action/Adventure"
"36","2019-07-31","92",29.41,"27","0","106",78,"0","Secret Obsession",NA,"Action/Adventure"
"37","2019-07-31","92",29.41,"27","0","106",78,"0","Storage Wars: Northern Treasures: "," 2: Pranking the Monkeys","Reality"
"38","2019-07-31","92",29.41,"27","0","106",78,"0","Storage Wars: Northern Treasures: "," 2: Exceedingly Loud and Uncomfortably Close","Reality"
"39","2019-07-31","92",29.41,"27","0","106",78,"0","Storage Wars: Northern Treasures: "," 2: Goji, Bogie and the Yogi","Reality"
"40","2019-07-31","92",29.41,"27","0","106",78,"0","Storage Wars: Northern Treasures: "," 2: Instigator in Training","Reality"
"41","2019-07-31","92",29.41,"27","0","106",78,"0","Mr. Mom",NA,"Comedy"
"42","2019-07-31","92",29.41,"27","0","106",78,"0","The Dark Knight",NA,"Drama"
"43","2019-08-01","91",29.42,"26","0","104",78,"0","Storage Wars: Northern Treasures: "," 2: Freaks and Greeks","Reality"
"44","2019-08-01","91",29.42,"26","0","104",78,"0","Copycat",NA,"Action/Adventure"
"45","2019-08-01","91",29.42,"26","0","104",78,"0","Panic Room",NA,"Action/Adventure"
"46","2019-08-01","91",29.42,"26","0","104",78,"0","Platoon",NA,"Drama"
"47","2019-08-01","91",29.42,"26","0","104",78,"0","Storage Wars: Northern Treasures: "," 2: All Aboard the Party Train!","Reality"
"48","2019-08-01","91",29.42,"26","0","104",78,"0","Swordfish",NA,"Action/Adventure"
"49","2019-08-01","91",29.42,"26","0","104",78,"0","Scarface",NA,"Action/Adventure"
"50","2019-08-02","91",29.39,"26","0","104",77,"0","As Above, So Below",NA,"Horror"
"51","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Ursula Goes Bananas","Reality"
"52","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: The Birds and the Bees and the Bulls","Reality"
"53","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Two Men and a Fake Baby","Reality"
"54","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Between a Brawk and a Hard Place","Reality"
"55","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Hug Life","Reality"
"56","2019-08-02","91",29.39,"26","0","104",77,"0","Storage Wars: Northern Treasures: "," 2: Honeymoon Capital of the Storage World","Reality"
"57","2019-08-03","92",29.35,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Cindy Hayden: Voodoo Child","Reality"
"58","2019-08-03","92",29.35,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Dude, Where's My Locker?","Reality"
"59","2019-08-03","92",29.35,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: Paulie's Angels: Full Throttle","Reality"
"60","2019-08-03","92",29.35,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: May the Schwarz be with you","Reality"
"61","2019-08-03","92",29.35,"27","0","105",79,"0","Storage Wars: Northern Treasures: "," 2: One Man Party","Reality"
"62","2019-08-03","92",29.35,"27","0","105",79,"0","The Aviator",NA,"Drama"
"63","2019-08-04","93",29.34,"28","0","105",80,"T","Storage Wars: Northern Treasures: "," 2: EXTREMEEDITION!!!","Reality"
"64","2019-08-05","93",29.34,"28","0","106",80,"0","Strange Voices",NA,"Drama"
"65","2019-08-05","93",29.34,"28","0","106",80,"0","Four Weddings and a Funeral",NA,"Comedy"
"66","2019-08-05","93",29.34,"28","0","106",80,"0","The Great British Baking Show: The Beginnings: "," 1: Patisserie","Competition"
"67","2019-08-05","93",29.34,"28","0","106",80,"0","Schindler's List",NA,"Drama"
"68","2019-08-06","93",29.33,"28","0","106",79,"0","Storage Wars: Northern Treasures: "," 2: All's Well That Ends Wildly Ridiculous","Reality"
"69","2019-08-07","93",29.31,"28","0","105",81,"0","The Great British Baking Show: The Beginnings: "," 1: The Final","Competition"
"70","2019-08-08","95",29.29,"30","0","109",80,"0","The Sisterhood of the Traveling Pants",NA,"Comedy"
"71","2019-08-08","95",29.29,"30","0","109",80,"0","Sugar Rush: "," 2: Light My Fire","Competition"
"72","2019-08-09","94",29.31,"29","0","107",80,"0","Otherhood",NA,"Comedy"
"73","2019-08-13","95",29.3,"30","0","109",80,"0","Sugar Rush: "," 2: Science of Sweets","Competition"
"74","2019-08-13","95",29.3,"30","0","109",80,"0","Sugar Rush: "," 2: Made with Love","Competition"
"75","2019-08-13","95",29.3,"30","0","109",80,"0","Rocky III",NA,"Drama"
"76","2019-08-14","93",29.36,"28","0","107",79,"0","GLOW: "," 3: Up, Up, Up","Comedy"
"77","2019-08-14","93",29.36,"28","0","107",79,"0","Sugar Rush: "," 1: Surprise!","Competition"
"78","2019-08-15","94",29.37,"29","0","107",81,"0","Ralph Breaks the Internet: Wreck-It Ralph 2",NA,"Comedy"
"79","2019-08-15","94",29.37,"29","0","107",81,"0","GLOW: "," 3: Keep Ridin'","Comedy"
"80","2019-08-15","94",29.37,"29","0","107",81,"0","GLOW: "," 3: Hollywood Homecoming","Comedy"
"81","2019-08-15","94",29.37,"29","0","107",81,"0","GLOW: "," 3: Outward Bound","Comedy"
"82","2019-08-15","94",29.37,"29","0","107",81,"0","Now and Then",NA,"Comedy"
"83","2019-08-15","94",29.37,"29","0","107",81,"0","GLOW: "," 3: Freaky Tuesday","Comedy"
"84","2019-08-15","94",29.37,"29","0","107",81,"0","GLOW: "," 3: Say Yes","Comedy"
"85","2019-08-15","94",29.37,"29","0","107",81,"0","GLOW: "," 3: Desert Pollen","Comedy"
"86","2019-08-15","94",29.37,"29","0","107",81,"0","GLOW: "," 3: Hot Tub Club","Comedy"
"87","2019-08-16","95",29.31,"30","0","108",81,"0","GLOW: "," 3: The Libertines","Comedy"
"88","2019-08-16","95",29.31,"30","0","108",81,"0","Jackie Brown",NA,"Action/Adventure"
"89","2019-08-17","94",29.26,"29","0","107",80,"0","GLOW: "," 3: A Very GLOW Christmas","Comedy"
"90","2019-08-18","94",29.28,"29","0","107",81,"0","Sugar Rush: "," 1: Kids in a Candy Store","Competition"
"91","2019-08-18","94",29.28,"29","0","107",81,"0","About Time",NA,"Romance"
"92","2019-08-18","94",29.28,"29","0","107",81,"0","Scream 3",NA,"Horror"
"93","2019-08-18","94",29.28,"29","0","107",81,"0","Pulp Fiction",NA,"Action/Adventure"
"94","2019-08-18","94",29.28,"29","0","107",81,"0","The Conjuring",NA,"Horror"
"95","2019-08-18","94",29.28,"29","0","107",81,"0","The Great British Baking Show: Masterclass: "," 5: Christmas","Competition"
"96","2019-08-18","94",29.28,"29","0","107",81,"0","The Great British Baking Show: Masterclass: "," 5: Easter Masterclass","Competition"
"97","2019-08-18","94",29.28,"29","0","107",81,"0","Blue Bloods: "," 1: Pilot","Drama"
"98","2019-08-18","94",29.28,"29","0","107",81,"0","She's Out of My League",NA,"Comedy"
"99","2019-08-19","93",29.35,"28","0","105",81,"0","Sugar Rush: "," 1: Camp Sugar Rush","Competition"
"100","2019-08-19","93",29.35,"28","0","105",81,"0","Sugar Rush: "," 1: Holiday Celebrations","Competition"
"101","2019-08-20","93",29.4,"28","0","104",81,"0","Sugar Rush: "," 1: Get Buzzed","Competition"
"102","2019-08-20","93",29.4,"28","0","104",81,"0","Sugar Rush: "," 1: Frosted Fashion","Competition"
"103","2019-08-20","93",29.4,"28","0","104",81,"0","Sommersby",NA,"Drama"
"104","2019-08-22","91",29.32,"26","0","103",79,"0","Sugar Rush: "," 2: Trending Treats","Competition"
"105","2019-09-05","82",29.47,"17","0","88",76,"0.65","Caddyshack",NA,"Comedy"
"106","2019-09-13","87",29.51,"22","0","98",75,"0","Bachelorette",NA,"Comedy"
"107","2019-09-14","84",29.51,"19","0","96",72,"T","The Crow",NA,"Horror"
"108","2019-09-20","91",29.32,"26","0","101",81,"0","Dave Chappelle: Sticks & Stones",NA,"Comedy"
"109","2019-09-21","89",29.4,"24","0","99",78,"0","The Break-Up",NA,"Comedy"
"110","2019-09-21","89",29.4,"24","0","99",78,"0","Burn After Reading",NA,"Comedy"
"111","2019-10-09","87",29.33,"22","0","98",75,"0","Marianne: "," 1: Your Dreams","Other"
"112","2019-10-11","70",29.48,"5","0","83",56,"T","Trainspotting",NA,"Drama"
"113","2019-11-03","63",29.59,"0","2","79",47,"0","Heathers",NA,"Comedy"
"114","2019-11-06","81",29.55,"16","0","90",72,"0","The Texas Chainsaw Massacre",NA,"Horror"
"115","2019-11-08","51",29.78,"0","14","55",47,"0.03","The End of the F***ing World: "," 2: Episode 2","Comedy"
"116","2019-11-08","51",29.78,"0","14","55",47,"0.03","The End of the F***ing World: "," 2: Episode 1","Comedy"
"117","2019-11-08","51",29.78,"0","14","55",47,"0.03","The End of the F***ing World: "," 1: Episode 1","Comedy"
"118","2019-11-08","51",29.78,"0","14","55",47,"0.03","Jenny Slate: Stage Fright",NA,"Comedy"
"119","2019-11-09","62",29.71,"0","3","71",52,"0","The End of the F***ing World: "," 2: Episode 5","Comedy"
"120","2019-11-09","62",29.71,"0","3","71",52,"0","The End of the F***ing World: "," 2: Episode 4","Comedy"
"121","2019-11-09","62",29.71,"0","3","71",52,"0","The End of the F***ing World: "," 2: Episode 3","Comedy"
"122","2019-11-10","65",29.51,"0","0","74",56,"0","Step Brothers",NA,"Comedy"
"123","2019-11-10","65",29.51,"0","0","74",56,"0","The End of the F***ing World: "," 2: Episode 8","Comedy"
"124","2019-11-10","65",29.51,"0","0","74",56,"0","The End of the F***ing World: "," 2: Episode 7","Comedy"
"125","2019-11-10","65",29.51,"0","0","74",56,"0","The End of the F***ing World: "," 2: Episode 6","Comedy"
"126","2019-11-14","50",29.69,"0","15","56",43,"0","The Great British Baking Show: Holidays: "," 2: The Great Christmas Baking Show","Competition"
"127","2019-12-05","72",29.44,"7","0","85",59,"0","Young Adult",NA,"Comedy"
"128","2020-01-07","61",29.82,"0","4","71",50,"0","Unbelievable: Limited ",": Episode 5","Drama"
"129","2020-01-07","61",29.82,"0","4","71",50,"0","Unbelievable: Limited ",": Episode 4","Drama"
"130","2020-01-07","61",29.82,"0","4","71",50,"0","Unbelievable: Limited ",": Episode 3","Drama"
"131","2020-01-07","61",29.82,"0","4","71",50,"0","Unbelievable: Limited ",": Episode 2","Drama"
"132","2020-01-07","61",29.82,"0","4","71",50,"0","Unbelievable: Limited ",": Episode 1","Drama"
"133","2020-01-07","61",29.82,"0","4","71",50,"0","Primal Fear",NA,"Drama"
"134","2020-01-08","62",29.63,"0","3","74",49,"0","Unbelievable: Limited ",": Episode 7","Drama"
"135","2020-01-08","62",29.63,"0","3","74",49,"0","Unbelievable: Limited ",": Episode 6","Drama"
"136","2020-01-09","68",29.39,"3","0","76",59,"0","Unbelievable: Limited ",": Episode 8","Drama"
"137","2020-01-13","63",29.56,"0","2","67",59,"0.01","Hellboy",NA,"Action/Adventure"
"138","2020-01-13","63",29.56,"0","2","67",59,"0.01","The Lord of the Rings: The Two Towers",NA,"Action/Adventure"
"139","2020-01-14","75",29.51,"10","0","84",66,"0.01","Black Panther",NA,"Action/Adventure"
"140","2020-01-15","77",29.46,"12","0","84",70,"0","The Irishman",NA,"Action/Adventure"
"141","2020-01-15","77",29.46,"12","0","84",70,"0","The Evil Dead",NA,"Horror"
"142","2020-01-20","56",29.94,"0","9","66",46,"0","Outlander: "," 2: Je Suis Prest","Action/Adventure"
"143","2020-01-21","56",29.77,"0","9","68",43,"0","Outlander: "," 2: The Hail Mary","Action/Adventure"
"144","2020-01-21","56",29.77,"0","9","68",43,"0","Outlander: "," 2: Vengeance Is Mine","Action/Adventure"
"145","2020-01-21","56",29.77,"0","9","68",43,"0","Outlander: "," 2: Prestonpans","Action/Adventure"
"146","2020-01-22","57",29.42,"0","8","63",51,"0.04","Resident Evil: Afterlife",NA,"Horror"
"147","2020-01-22","57",29.42,"0","8","63",51,"0.04","Outlander: "," 2: Dragonfly In Amber","Action/Adventure"
"148","2020-01-23","63",29.43,"0","2","77",48,"0","Sex Education: "," 1: Episode 8","Comedy"
"149","2020-01-23","63",29.43,"0","2","77",48,"0","Sex Education: "," 1: Episode 7","Comedy"
"150","2020-01-23","63",29.43,"0","2","77",48,"0","Sex Education: "," 1: Episode 6","Comedy"
"151","2020-01-23","63",29.43,"0","2","77",48,"0","Sex Education: "," 1: Episode 5","Comedy"
"152","2020-01-23","63",29.43,"0","2","77",48,"0","Sex Education: "," 1: Episode 4","Comedy"
"153","2020-01-23","63",29.43,"0","2","77",48,"0","Sex Education: "," 1: Episode 3","Comedy"
"154","2020-01-23","63",29.43,"0","2","77",48,"0","Sex Education: "," 1: Episode 2","Comedy"
"155","2020-01-24","60",29.57,"0","5","74",45,"0","Sex Education: "," 2: Episode 1","Comedy"
"156","2020-01-27","71",29.37,"6","0","86",55,"0","Along Came a Spider",NA,"Action/Adventure"
"157","2020-02-02","62",29.55,"0","3","81",43,"0","Blow",NA,"Drama"
"158","2020-02-02","62",29.55,"0","3","81",43,"0","72 Dangerous Animals: Latin America: "," 1: One Hit Wonders","Documentaries"
"159","2020-02-06","52",29.36,"0","13","69",35,"0","Marriage Story",NA,"Drama"
"160","2020-02-08","69",29.46,"4","0","84",54,"0","The Natural",NA,"Drama"
"161","2020-02-15","62",29.6,"0","3","74",50,"0","Scary Movie",NA,"Comedy"
"162","2020-02-16","68",29.47,"3","0","83",53,"T","Glee: "," 1: Mash-Up","Comedy"
"163","2020-02-16","68",29.47,"3","0","83",53,"T","Glee: "," 1: Throwdown","Comedy"
"164","2020-02-16","68",29.47,"3","0","83",53,"T","Glee: "," 1: Vitamin D","Comedy"
"165","2020-02-16","68",29.47,"3","0","83",53,"T","Glee: "," 1: The Rhodes Not Taken","Comedy"
"166","2020-02-16","68",29.47,"3","0","83",53,"T","Glee: "," 1: Preggers","Comedy"
"167","2020-02-16","68",29.47,"3","0","83",53,"T","Glee: "," 1: Acafellas","Comedy"
"168","2020-02-16","68",29.47,"3","0","83",53,"T","Glee: "," 1: Showmance","Comedy"
"169","2020-02-16","68",29.47,"3","0","83",53,"T","Glee: "," 1: Pilot","Comedy"
"170","2020-02-17","77",29.27,"12","0","90",64,"0","Glee: "," 1: Hell-O","Comedy"
"171","2020-02-17","77",29.27,"12","0","90",64,"0","Glee: "," 1: Sectionals","Comedy"
"172","2020-02-17","77",29.27,"12","0","90",64,"0","Glee: "," 1: Mattress","Comedy"
"173","2020-02-17","77",29.27,"12","0","90",64,"0","Glee: "," 1: Hairography","Comedy"
"174","2020-02-17","77",29.27,"12","0","90",64,"0","Glee: "," 1: Ballad","Comedy"
"175","2020-02-17","77",29.27,"12","0","90",64,"0","Glee: "," 1: Wheels","Comedy"
"176","2020-02-18","73",29.37,"8","0","86",60,"T","Glee: "," 1: Theatricality","Comedy"
"177","2020-02-18","73",29.37,"8","0","86",60,"T","Glee: "," 1: Dream On","Comedy"
"178","2020-02-18","73",29.37,"8","0","86",60,"T","Glee: "," 1: Laryngitis","Comedy"
"179","2020-02-18","73",29.37,"8","0","86",60,"T","I AM A KILLER: "," 2: In Her Hands","Documentaries"
"180","2020-02-18","73",29.37,"8","0","86",60,"T","Glee: "," 1: Bad Reputation","Comedy"
"181","2020-02-18","73",29.37,"8","0","86",60,"T","Glee: "," 1: Home","Comedy"
"182","2020-02-18","73",29.37,"8","0","86",60,"T","Glee: "," 1: The Power of Madonna","Comedy"
"183","2020-02-19","57",29.62,"0","8","60",53,"T","Glee: "," 2: Audition","Comedy"
"184","2020-02-19","57",29.62,"0","8","60",53,"T","Glee: "," 1: Journey to Regionals","Comedy"
"185","2020-02-19","57",29.62,"0","8","60",53,"T","Glee: "," 1: Funk","Comedy"
"186","2020-02-26","51",29.87,"0","14","60",42,"0","Love Is Blind: "," 1: Is Love Blind?","Reality"
"187","2020-02-26","51",29.87,"0","14","60",42,"0","I Am Not Okay With This: "," 1: Deepest, Darkest Secret","Action/Adventure"
"188","2020-02-26","51",29.87,"0","14","60",42,"0","I Am Not Okay With This: "," 1: Like Father, Like Daughter","Action/Adventure"
"189","2020-02-26","51",29.87,"0","14","60",42,"0","I Am Not Okay With This: "," 1: Another Day in Paradise","Action/Adventure"
"190","2020-02-26","51",29.87,"0","14","60",42,"0","I Am Not Okay With This: "," 1: Stan by Me","Action/Adventure"
"191","2020-02-26","51",29.87,"0","14","60",42,"0","I Am Not Okay With This: "," 1: The Party's Over","Action/Adventure"
"192","2020-02-26","51",29.87,"0","14","60",42,"0","I Am Not Okay With This: "," 1: The Master of One F**k","Action/Adventure"
"193","2020-02-26","51",29.87,"0","14","60",42,"0","I Am Not Okay With This: "," 1: Dear Diary...","Action/Adventure"
"194","2020-02-27","51",29.83,"0","14","67",34,"0","Love Is Blind: "," 1: Last Night in Paradise","Reality"
